x,y,group,side,descri
13.896597684119687,22.58170701699099,21.0,1.0,cercle 3pts
14.115705232634989,22.720138480510727,21.0,1.0,cercle 3pts
14.336538433083186,22.855800138647464,21.0,1.0,cercle 3pts
14.559062273435721,22.988670482905924,21.0,1.0,cercle 3pts
14.783241473621326,23.118728447340054,21.0,1.0,cercle 3pts
15.00904049111946,23.245953411892923,21.0,1.0,cercle 3pts
15.236423526595466,23.370325205665946,21.0,1.0,cercle 3pts
15.46535452957635,23.491824110116863,21.0,1.0,cercle 3pts
15.69579720416638,23.61043086218602,21.0,1.0,cercle 3pts
15.92771501480168,23.72612665735046,21.0,1.0,cercle 3pts
16.161071192042726,23.838893152605245,21.0,1.0,cercle 3pts
16.395828738403985,23.94871246937169,21.0,1.0,cercle 3pts
16.631950434219643,24.055567196331893,21.0,1.0,cercle 3pts
16.869398843544662,24.159440392189246,21.0,1.0,cercle 3pts
17.108136320090036,24.260315588354366,21.0,1.0,cercle 3pts
17.348125013191417,24.358176791556126,21.0,1.0,cercle 3pts
17.589326873810162,24.453008486377307,21.0,1.0,cercle 3pts
17.831703660565847,24.544795637714486,21.0,1.0,cercle 3pts
18.075216945799202,24.63352369316179,21.0,1.0,cercle 3pts
18.319828121664685,24.719178585318105,21.0,1.0,cercle 3pts
18.56549840625152,24.80174673401738,21.0,1.0,cercle 3pts
18.812188849732415,24.88121504848172,21.0,1.0,cercle 3pts
19.059860340538844,24.957570929396848,21.0,1.0,cercle 3pts
19.308473611562007,25.030802270909668,21.0,1.0,cercle 3pts
19.557989246378437,25.10089746254759,21.0,1.0,cercle 3pts
19.80836768549928,25.16784539105932,21.0,1.0,cercle 3pts
20.059569232642275,25.231635442176806,21.0,1.0,cercle 3pts
20.311554061025365,25.29225750229807,21.0,1.0,cercle 3pts
20.564282219681093,25.349701960090698,21.0,1.0,cercle 3pts
20.817713639790597,25.40395970801563,21.0,1.0,cercle 3pts
21.071808141036325,25.45502214377115,21.0,1.0,cercle 3pts
21.32652543797246,25.50288117165673,21.0,1.0,cercle 3pts
21.581825146411948,25.547529203856545,21.0,1.0,cercle 3pts
21.837666789829232,25.588959161642517,21.0,1.0,cercle 3pts
22.094009805777596,25.627164476496585,21.0,1.0,cercle 3pts
22.350813552320165,25.66213909115212,21.0,1.0,cercle 3pts
22.608037314473464,25.69387746055429,21.0,1.0,cercle 3pts
22.865640310662577,25.722374552739176,21.0,1.0,cercle 3pts
23.1235816991869,25.747625849631582,21.0,1.0,cercle 3pts
23.381820584695355,25.769627347761347,21.0,1.0,cercle 3pts
23.640316024670174,25.788375558898085,21.0,1.0,cercle 3pts
